Phonemes,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,n_positives,n_negatives,n_total
Y,0.34,0.42,0.4,0.4,0.4,0.4,0.4,0.47,53.0,10.0,63.0
c,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,405.0,105.0,510.0
f,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,682.0,10.0,692.0
x,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,590.0,153.0,743.0
d,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.37,773.0,89.0,862.0
G,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,222.0,643.0,865.0
b,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,528.0,395.0,923.0
g,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.29,887.0,114.0,1001.0
z,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,189.0,997.0,1186.0
w,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.17,743.0,500.0,1243.0
N,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,911.0,443.0,1354.0
B,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,428.0,1169.0,1597.0
rr,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,491.0,1739.0,2230.0
u,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,1948.0,482.0,2430.0
p,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,1657.0,1055.0,2712.0
D,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,920.0,2009.0,2929.0
y,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,2453.0,574.0,3027.0
k,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,1708.0,1472.0,3180.0
m,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,3234.0,686.0,3920.0
t,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,2938.0,1542.0,4480.0
l,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,3505.0,1373.0,4878.0
i,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,4929.0,1238.0,6167.0
r,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,3650.0,2617.0,6267.0
n,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,7152.0,476.0,7628.0
s,0.3,0.31,0.31,0.3,0.3,0.31,0.3,0.3,7555.0,480.0,8035.0
o,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,8040.0,2077.0,10117.0
a,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,10144.0,2069.0,12213.0
e,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,10597.0,3484.0,14081.0
